Category: All categories

Month,gota: (Brazil)
2014-01,36
2014-02,35
2014-03,43
2014-04,43
2014-05,37
2014-06,36
2014-07,38
2014-08,53
2014-09,49
2014-10,52
2014-11,50
2014-12,46
2015-01,47
2015-02,58
2015-03,58
2015-04,49
2015-05,48
2015-06,47
2015-07,47
2015-08,53
2015-09,50
2015-10,49
2015-11,51
2015-12,42
2016-01,44
2016-02,50
2016-03,52
2016-04,52
2016-05,53
2016-06,52
2016-07,52
2016-08,50
2016-09,53
2016-10,54
2016-11,51
2016-12,50
2017-01,54
2017-02,53
2017-03,62
2017-04,55
2017-05,54
2017-06,52
2017-07,50
2017-08,53
2017-09,56
2017-10,57
2017-11,56
2017-12,57
2018-01,56
2018-02,60
2018-03,66
2018-04,63
2018-05,59
2018-06,56
2018-07,57
2018-08,58
2018-09,58
2018-10,57
2018-11,62
2018-12,62
2019-01,59
2019-02,63
2019-03,78
2019-04,67
2019-05,67
2019-06,61
2019-07,64
2019-08,61
2019-09,67
2019-10,67
2019-11,66
2019-12,62
2020-01,59
2020-02,60
2020-03,62
2020-04,60
2020-05,65
2020-06,69
2020-07,69
2020-08,66
2020-09,67
2020-10,64
2020-11,61
2020-12,67
2021-01,70
2021-02,68
2021-03,75
2021-04,70
2021-05,67
2021-06,66
2021-07,61
2021-08,66
2021-09,66
2021-10,67
2021-11,65
2021-12,71
2022-01,78
2022-02,76
2022-03,88
2022-04,80
2022-05,79
2022-06,81
2022-07,82
2022-08,86
2022-09,84
2022-10,82
2022-11,77
2022-12,85
2023-01,85
2023-02,86
2023-03,100
2023-04,88
2023-05,83
2023-06,90
2023-07,85
2023-08,81
2023-09,82
2023-10,82
2023-11,81
2023-12,86
2024-01,88
2024-02,83
2024-03,95
2024-04,88
2024-05,86
2024-06,85
2024-07,79
2024-08,84
2024-09,87
2024-10,86
2024-11,89
2024-12,85
