Category: All categories

Month,gicht: (Switzerland)
2014-01,71
2014-02,66
2014-03,71
2014-04,68
2014-05,68
2014-06,65
2014-07,77
2014-08,65
2014-09,65
2014-10,68
2014-11,66
2014-12,66
2015-01,78
2015-02,65
2015-03,63
2015-04,67
2015-05,74
2015-06,74
2015-07,69
2015-08,69
2015-09,68
2015-10,68
2015-11,72
2015-12,68
2016-01,62
2016-02,75
2016-03,62
2016-04,71
2016-05,69
2016-06,57
2016-07,71
2016-08,65
2016-09,59
2016-10,56
2016-11,63
2016-12,64
2017-01,75
2017-02,61
2017-03,75
2017-04,79
2017-05,79
2017-06,72
2017-07,75
2017-08,70
2017-09,77
2017-10,79
2017-11,61
2017-12,70
2018-01,76
2018-02,69
2018-03,84
2018-04,82
2018-05,81
2018-06,72
2018-07,100
2018-08,75
2018-09,77
2018-10,73
2018-11,69
2018-12,71
2019-01,85
2019-02,73
2019-03,84
2019-04,80
2019-05,80
2019-06,77
2019-07,95
2019-08,72
2019-09,70
2019-10,67
2019-11,75
2019-12,82
2020-01,78
2020-02,72
2020-03,66
2020-04,81
2020-05,86
2020-06,85
2020-07,85
2020-08,82
2020-09,71
2020-10,74
2020-11,75
2020-12,67
2021-01,82
2021-02,91
2021-03,81
2021-04,84
2021-05,98
2021-06,85
2021-07,81
2021-08,91
2021-09,72
2021-10,79
2021-11,70
2021-12,75
2022-01,86
2022-02,81
2022-03,75
2022-04,81
2022-05,84
2022-06,76
2022-07,78
2022-08,87
2022-09,71
2022-10,84
2022-11,75
2022-12,72
2023-01,87
2023-02,87
2023-03,88
2023-04,84
2023-05,94
2023-06,91
2023-07,83
2023-08,82
2023-09,71
2023-10,77
2023-11,76
2023-12,81
2024-01,87
2024-02,90
2024-03,84
2024-04,93
2024-05,77
2024-06,77
2024-07,82
2024-08,76
2024-09,62
2024-10,77
2024-11,73
2024-12,88
