Category: All categories

Month,dna: (Czechia)
2014-01,93
2014-02,85
2014-03,81
2014-04,82
2014-05,93
2014-06,85
2014-07,64
2014-08,75
2014-09,81
2014-10,87
2014-11,80
2014-12,70
2015-01,86
2015-02,84
2015-03,76
2015-04,83
2015-05,92
2015-06,81
2015-07,62
2015-08,68
2015-09,71
2015-10,76
2015-11,82
2015-12,71
2016-01,95
2016-02,79
2016-03,77
2016-04,84
2016-05,92
2016-06,87
2016-07,69
2016-08,65
2016-09,77
2016-10,77
2016-11,77
2016-12,81
2017-01,92
2017-02,97
2017-03,86
2017-04,82
2017-05,91
2017-06,84
2017-07,73
2017-08,69
2017-09,75
2017-10,85
2017-11,90
2017-12,73
2018-01,96
2018-02,82
2018-03,82
2018-04,83
2018-05,90
2018-06,87
2018-07,63
2018-08,73
2018-09,70
2018-10,81
2018-11,79
2018-12,72
2019-01,93
2019-02,94
2019-03,98
2019-04,84
2019-05,83
2019-06,84
2019-07,67
2019-08,67
2019-09,75
2019-10,75
2019-11,81
2019-12,82
2020-01,90
2020-02,79
2020-03,68
2020-04,84
2020-05,86
2020-06,86
2020-07,73
2020-08,67
2020-09,66
2020-10,74
2020-11,83
2020-12,84
2021-01,98
2021-02,84
2021-03,85
2021-04,77
2021-05,85
2021-06,80
2021-07,68
2021-08,60
2021-09,70
2021-10,74
2021-11,76
2021-12,67
2022-01,100
2022-02,87
2022-03,82
2022-04,84
2022-05,90
2022-06,90
2022-07,79
2022-08,76
2022-09,75
2022-10,84
2022-11,82
2022-12,78
2023-01,93
2023-02,88
2023-03,87
2023-04,81
2023-05,86
2023-06,87
2023-07,68
2023-08,72
2023-09,78
2023-10,83
2023-11,83
2023-12,79
2024-01,92
2024-02,88
2024-03,86
2024-04,90
2024-05,85
2024-06,91
2024-07,73
2024-08,71
2024-09,79
2024-10,86
2024-11,90
2024-12,87
