Category: All categories

Month,urinsyregigt: (Denmark)
2014-01,78
2014-02,90
2014-03,85
2014-04,86
2014-05,89
2014-06,84
2014-07,99
2014-08,87
2014-09,93
2014-10,75
2014-11,74
2014-12,89
2015-01,90
2015-02,84
2015-03,67
2015-04,89
2015-05,76
2015-06,77
2015-07,83
2015-08,66
2015-09,70
2015-10,71
2015-11,78
2015-12,89
2016-01,73
2016-02,73
2016-03,74
2016-04,65
2016-05,70
2016-06,70
2016-07,82
2016-08,62
2016-09,64
2016-10,65
2016-11,66
2016-12,60
2017-01,66
2017-02,76
2017-03,72
2017-04,73
2017-05,72
2017-06,82
2017-07,77
2017-08,81
2017-09,64
2017-10,67
2017-11,71
2017-12,72
2018-01,79
2018-02,67
2018-03,90
2018-04,83
2018-05,85
2018-06,80
2018-07,89
2018-08,76
2018-09,74
2018-10,83
2018-11,66
2018-12,89
2019-01,76
2019-02,85
2019-03,88
2019-04,76
2019-05,67
2019-06,70
2019-07,89
2019-08,72
2019-09,69
2019-10,79
2019-11,71
2019-12,66
2020-01,87
2020-02,89
2020-03,63
2020-04,61
2020-05,87
2020-06,84
2020-07,80
2020-08,88
2020-09,77
2020-10,74
2020-11,65
2020-12,65
2021-01,80
2021-02,80
2021-03,84
2021-04,86
2021-05,82
2021-06,100
2021-07,91
2021-08,92
2021-09,79
2021-10,72
2021-11,77
2021-12,68
2022-01,89
2022-02,87
2022-03,81
2022-04,75
2022-05,92
2022-06,92
2022-07,93
2022-08,87
2022-09,75
2022-10,79
2022-11,73
2022-12,81
2023-01,75
2023-02,97
2023-03,92
2023-04,88
2023-05,92
2023-06,97
2023-07,93
2023-08,79
2023-09,71
2023-10,58
2023-11,69
2023-12,79
2024-01,69
2024-02,78
2024-03,73
2024-04,90
2024-05,77
2024-06,64
2024-07,81
2024-08,84
2024-09,71
2024-10,68
2024-11,63
2024-12,67
