Category: All categories

Month,gout: (Spain)
2014-01,25
2014-02,24
2014-03,21
2014-04,26
2014-05,19
2014-06,28
2014-07,29
2014-08,34
2014-09,29
2014-10,30
2014-11,27
2014-12,25
2015-01,23
2015-02,27
2015-03,23
2015-04,22
2015-05,25
2015-06,29
2015-07,35
2015-08,41
2015-09,27
2015-10,26
2015-11,28
2015-12,29
2016-01,30
2016-02,36
2016-03,30
2016-04,29
2016-05,38
2016-06,33
2016-07,48
2016-08,56
2016-09,41
2016-10,37
2016-11,30
2016-12,32
2017-01,38
2017-02,39
2017-03,40
2017-04,34
2017-05,33
2017-06,42
2017-07,46
2017-08,50
2017-09,37
2017-10,35
2017-11,33
2017-12,32
2018-01,33
2018-02,40
2018-03,35
2018-04,37
2018-05,43
2018-06,47
2018-07,50
2018-08,54
2018-09,47
2018-10,42
2018-11,31
2018-12,30
2019-01,39
2019-02,40
2019-03,43
2019-04,43
2019-05,46
2019-06,49
2019-07,52
2019-08,70
2019-09,41
2019-10,41
2019-11,35
2019-12,39
2020-01,34
2020-02,36
2020-03,35
2020-04,32
2020-05,31
2020-06,26
2020-07,39
2020-08,50
2020-09,30
2020-10,30
2020-11,27
2020-12,25
2021-01,35
2021-02,36
2021-03,27
2021-04,31
2021-05,31
2021-06,35
2021-07,52
2021-08,61
2021-09,40
2021-10,40
2021-11,41
2021-12,33
2022-01,41
2022-02,35
2022-03,35
2022-04,40
2022-05,44
2022-06,43
2022-07,53
2022-08,69
2022-09,45
2022-10,40
2022-11,37
2022-12,38
2023-01,36
2023-02,42
2023-03,45
2023-04,52
2023-05,46
2023-06,48
2023-07,54
2023-08,72
2023-09,51
2023-10,44
2023-11,35
2023-12,36
2024-01,40
2024-02,45
2024-03,45
2024-04,53
2024-05,50
2024-06,46
2024-07,57
2024-08,82
2024-09,57
2024-10,51
2024-11,44
2024-12,100
