Category: All categories

Month,goutte: (France)
2014-01,34
2014-02,49
2014-03,34
2014-04,38
2014-05,38
2014-06,41
2014-07,37
2014-08,36
2014-09,33
2014-10,32
2014-11,31
2014-12,35
2015-01,35
2015-02,34
2015-03,38
2015-04,43
2015-05,42
2015-06,43
2015-07,44
2015-08,38
2015-09,34
2015-10,34
2015-11,34
2015-12,35
2016-01,59
2016-02,50
2016-03,52
2016-04,54
2016-05,60
2016-06,51
2016-07,49
2016-08,47
2016-09,49
2016-10,45
2016-11,48
2016-12,50
2017-01,49
2017-02,52
2017-03,54
2017-04,54
2017-05,60
2017-06,61
2017-07,55
2017-08,56
2017-09,49
2017-10,50
2017-11,49
2017-12,56
2018-01,54
2018-02,53
2018-03,58
2018-04,62
2018-05,62
2018-06,60
2018-07,61
2018-08,60
2018-09,54
2018-10,53
2018-11,53
2018-12,54
2019-01,53
2019-02,73
2019-03,77
2019-04,71
2019-05,68
2019-06,70
2019-07,69
2019-08,63
2019-09,58
2019-10,58
2019-11,60
2019-12,59
2020-01,59
2020-02,67
2020-03,63
2020-04,73
2020-05,75
2020-06,74
2020-07,75
2020-08,69
2020-09,64
2020-10,57
2020-11,57
2020-12,60
2021-01,65
2021-02,63
2021-03,67
2021-04,76
2021-05,74
2021-06,73
2021-07,67
2021-08,70
2021-09,64
2021-10,61
2021-11,61
2021-12,64
2022-01,67
2022-02,70
2022-03,71
2022-04,77
2022-05,93
2022-06,83
2022-07,89
2022-08,77
2022-09,68
2022-10,71
2022-11,69
2022-12,74
2023-01,72
2023-02,77
2023-03,89
2023-04,91
2023-05,100
2023-06,97
2023-07,90
2023-08,78
2023-09,71
2023-10,72
2023-11,71
2023-12,75
2024-01,73
2024-02,76
2024-03,75
2024-04,83
2024-05,85
2024-06,81
2024-07,78
2024-08,74
2024-09,71
2024-10,75
2024-11,78
2024-12,78
