Category: All categories

Month,gicht: (Germany)
2014-01,63
2014-02,66
2014-03,73
2014-04,76
2014-05,74
2014-06,73
2014-07,70
2014-08,67
2014-09,67
2014-10,70
2014-11,62
2014-12,64
2015-01,69
2015-02,73
2015-03,65
2015-04,67
2015-05,75
2015-06,66
2015-07,70
2015-08,69
2015-09,61
2015-10,61
2015-11,59
2015-12,64
2016-01,61
2016-02,60
2016-03,62
2016-04,69
2016-05,72
2016-06,59
2016-07,63
2016-08,59
2016-09,59
2016-10,55
2016-11,62
2016-12,57
2017-01,66
2017-02,66
2017-03,65
2017-04,69
2017-05,74
2017-06,62
2017-07,65
2017-08,63
2017-09,60
2017-10,61
2017-11,65
2017-12,67
2018-01,68
2018-02,70
2018-03,65
2018-04,75
2018-05,69
2018-06,70
2018-07,63
2018-08,66
2018-09,62
2018-10,62
2018-11,71
2018-12,62
2019-01,73
2019-02,72
2019-03,79
2019-04,71
2019-05,72
2019-06,71
2019-07,66
2019-08,65
2019-09,65
2019-10,69
2019-11,65
2019-12,71
2020-01,79
2020-02,75
2020-03,62
2020-04,67
2020-05,80
2020-06,81
2020-07,85
2020-08,74
2020-09,66
2020-10,59
2020-11,61
2020-12,64
2021-01,75
2021-02,79
2021-03,71
2021-04,75
2021-05,82
2021-06,76
2021-07,74
2021-08,69
2021-09,67
2021-10,66
2021-11,65
2021-12,64
2022-01,81
2022-02,73
2022-03,76
2022-04,86
2022-05,94
2022-06,91
2022-07,87
2022-08,81
2022-09,71
2022-10,70
2022-11,71
2022-12,78
2023-01,95
2023-02,87
2023-03,96
2023-04,100
2023-05,99
2023-06,95
2023-07,85
2023-08,88
2023-09,76
2023-10,69
2023-11,69
2023-12,75
2024-01,83
2024-02,82
2024-03,82
2024-04,82
2024-05,91
2024-06,74
2024-07,80
2024-08,77
2024-09,64
2024-10,67
2024-11,69
2024-12,70
