Category: All categories

Month,ποδαγρα: (Greece)
2014-01,12
2014-02,11
2014-03,10
2014-04,10
2014-05,11
2014-06,10
2014-07,14
2014-08,100
2014-09,31
2014-10,16
2014-11,11
2014-12,7
2015-01,8
2015-02,12
2015-03,7
2015-04,5
2015-05,13
2015-06,13
2015-07,14
2015-08,13
2015-09,8
2015-10,8
2015-11,8
2015-12,6
2016-01,9
2016-02,7
2016-03,8
2016-04,13
2016-05,9
2016-06,11
2016-07,13
2016-08,6
2016-09,10
2016-10,10
2016-11,5
2016-12,5
2017-01,9
2017-02,9
2017-03,11
2017-04,14
2017-05,7
2017-06,15
2017-07,10
2017-08,12
2017-09,14
2017-10,11
2017-11,8
2017-12,9
2018-01,8
2018-02,11
2018-03,11
2018-04,9
2018-05,13
2018-06,14
2018-07,9
2018-08,11
2018-09,7
2018-10,0
2018-11,9
2018-12,8
2019-01,14
2019-02,38
2019-03,24
2019-04,8
2019-05,11
2019-06,6
2019-07,9
2019-08,9
2019-09,9
2019-10,7
2019-11,11
2019-12,7
2020-01,13
2020-02,10
2020-03,10
2020-04,9
2020-05,9
2020-06,10
2020-07,10
2020-08,7
2020-09,9
2020-10,10
2020-11,15
2020-12,11
2021-01,11
2021-02,8
2021-03,7
2021-04,6
2021-05,9
2021-06,8
2021-07,7
2021-08,10
2021-09,0
2021-10,0
2021-11,6
2021-12,8
2022-01,17
2022-02,10
2022-03,5
2022-04,3
2022-05,8
2022-06,9
2022-07,5
2022-08,12
2022-09,9
2022-10,6
2022-11,8
2022-12,4
2023-01,6
2023-02,10
2023-03,5
2023-04,10
2023-05,8
2023-06,12
2023-07,5
2023-08,5
2023-09,4
2023-10,6
2023-11,4
2023-12,7
2024-01,14
2024-02,8
2024-03,10
2024-04,5
2024-05,6
2024-06,5
2024-07,5
2024-08,7
2024-09,0
2024-10,4
2024-11,5
2024-12,5
