Category: All categories

Month,gotta: (Italy)
2014-01,77
2014-02,75
2014-03,76
2014-04,84
2014-05,81
2014-06,85
2014-07,86
2014-08,86
2014-09,80
2014-10,75
2014-11,70
2014-12,69
2015-01,75
2015-02,71
2015-03,73
2015-04,75
2015-05,79
2015-06,87
2015-07,83
2015-08,83
2015-09,75
2015-10,60
2015-11,65
2015-12,71
2016-01,81
2016-02,86
2016-03,86
2016-04,80
2016-05,73
2016-06,75
2016-07,100
2016-08,80
2016-09,72
2016-10,68
2016-11,77
2016-12,72
2017-01,71
2017-02,78
2017-03,74
2017-04,77
2017-05,76
2017-06,81
2017-07,83
2017-08,83
2017-09,71
2017-10,67
2017-11,74
2017-12,77
2018-01,76
2018-02,68
2018-03,68
2018-04,81
2018-05,72
2018-06,81
2018-07,76
2018-08,77
2018-09,66
2018-10,64
2018-11,67
2018-12,68
2019-01,77
2019-02,74
2019-03,72
2019-04,73
2019-05,76
2019-06,81
2019-07,75
2019-08,75
2019-09,65
2019-10,63
2019-11,63
2019-12,83
2020-01,76
2020-02,68
2020-03,67
2020-04,76
2020-05,78
2020-06,75
2020-07,74
2020-08,84
2020-09,80
2020-10,59
2020-11,61
2020-12,65
2021-01,69
2021-02,71
2021-03,66
2021-04,71
2021-05,73
2021-06,74
2021-07,73
2021-08,78
2021-09,76
2021-10,60
2021-11,62
2021-12,58
2022-01,71
2022-02,77
2022-03,66
2022-04,78
2022-05,80
2022-06,79
2022-07,85
2022-08,82
2022-09,69
2022-10,71
2022-11,68
2022-12,70
2023-01,70
2023-02,87
2023-03,75
2023-04,77
2023-05,75
2023-06,82
2023-07,77
2023-08,79
2023-09,68
2023-10,64
2023-11,64
2023-12,68
2024-01,73
2024-02,72
2024-03,77
2024-04,72
2024-05,73
2024-06,78
2024-07,78
2024-08,72
2024-09,65
2024-10,67
2024-11,65
2024-12,66
