Category: All categories

Month,gota: (Mexico)
2014-01,55
2014-02,59
2014-03,64
2014-04,62
2014-05,63
2014-06,55
2014-07,56
2014-08,56
2014-09,59
2014-10,59
2014-11,60
2014-12,53
2015-01,60
2015-02,67
2015-03,66
2015-04,63
2015-05,63
2015-06,62
2015-07,56
2015-08,60
2015-09,63
2015-10,60
2015-11,60
2015-12,53
2016-01,52
2016-02,57
2016-03,60
2016-04,61
2016-05,63
2016-06,60
2016-07,58
2016-08,55
2016-09,65
2016-10,68
2016-11,76
2016-12,54
2017-01,61
2017-02,66
2017-03,72
2017-04,66
2017-05,70
2017-06,68
2017-07,63
2017-08,62
2017-09,62
2017-10,68
2017-11,73
2017-12,65
2018-01,63
2018-02,67
2018-03,77
2018-04,70
2018-05,65
2018-06,60
2018-07,63
2018-08,68
2018-09,64
2018-10,69
2018-11,67
2018-12,62
2019-01,64
2019-02,90
2019-03,80
2019-04,74
2019-05,73
2019-06,69
2019-07,72
2019-08,69
2019-09,76
2019-10,71
2019-11,64
2019-12,61
2020-01,65
2020-02,71
2020-03,67
2020-04,65
2020-05,71
2020-06,67
2020-07,68
2020-08,66
2020-09,60
2020-10,71
2020-11,63
2020-12,60
2021-01,64
2021-02,68
2021-03,72
2021-04,71
2021-05,65
2021-06,69
2021-07,67
2021-08,65
2021-09,69
2021-10,71
2021-11,63
2021-12,69
2022-01,67
2022-02,71
2022-03,97
2022-04,88
2022-05,90
2022-06,86
2022-07,75
2022-08,84
2022-09,91
2022-10,100
2022-11,81
2022-12,68
2023-01,76
2023-02,80
2023-03,96
2023-04,82
2023-05,89
2023-06,89
2023-07,71
2023-08,74
2023-09,93
2023-10,89
2023-11,79
2023-12,82
2024-01,78
2024-02,85
2024-03,89
2024-04,91
2024-05,87
2024-06,77
2024-07,76
2024-08,74
2024-09,76
2024-10,86
2024-11,79
2024-12,74
