Category: All categories

Month,jicht: (Netherlands)
2014-01,62
2014-02,63
2014-03,65
2014-04,65
2014-05,63
2014-06,54
2014-07,68
2014-08,62
2014-09,58
2014-10,58
2014-11,52
2014-12,53
2015-01,59
2015-02,58
2015-03,57
2015-04,59
2015-05,56
2015-06,66
2015-07,80
2015-08,69
2015-09,55
2015-10,56
2015-11,59
2015-12,58
2016-01,52
2016-02,54
2016-03,54
2016-04,58
2016-05,64
2016-06,64
2016-07,68
2016-08,70
2016-09,64
2016-10,54
2016-11,54
2016-12,51
2017-01,58
2017-02,58
2017-03,62
2017-04,61
2017-05,63
2017-06,72
2017-07,73
2017-08,65
2017-09,56
2017-10,57
2017-11,54
2017-12,56
2018-01,60
2018-02,61
2018-03,69
2018-04,78
2018-05,71
2018-06,70
2018-07,78
2018-08,79
2018-09,61
2018-10,60
2018-11,57
2018-12,57
2019-01,60
2019-02,63
2019-03,61
2019-04,65
2019-05,68
2019-06,73
2019-07,70
2019-08,70
2019-09,56
2019-10,57
2019-11,54
2019-12,59
2020-01,65
2020-02,65
2020-03,52
2020-04,57
2020-05,63
2020-06,72
2020-07,71
2020-08,77
2020-09,60
2020-10,56
2020-11,59
2020-12,62
2021-01,65
2021-02,63
2021-03,62
2021-04,63
2021-05,63
2021-06,83
2021-07,73
2021-08,73
2021-09,65
2021-10,57
2021-11,59
2021-12,61
2022-01,65
2022-02,64
2022-03,62
2022-04,69
2022-05,79
2022-06,88
2022-07,87
2022-08,87
2022-09,66
2022-10,61
2022-11,60
2022-12,63
2023-01,76
2023-02,75
2023-03,74
2023-04,70
2023-05,99
2023-06,100
2023-07,81
2023-08,74
2023-09,68
2023-10,60
2023-11,61
2023-12,63
2024-01,67
2024-02,63
2024-03,65
2024-04,63
2024-05,74
2024-06,62
2024-07,69
2024-08,68
2024-09,60
2024-10,57
2024-11,56
2024-12,61
