Category: All categories

Month,urinsyregikt: (Norway)
2014-01,57
2014-02,59
2014-03,64
2014-04,62
2014-05,65
2014-06,81
2014-07,79
2014-08,59
2014-09,62
2014-10,59
2014-11,58
2014-12,58
2015-01,75
2015-02,71
2015-03,71
2015-04,73
2015-05,65
2015-06,64
2015-07,71
2015-08,75
2015-09,68
2015-10,58
2015-11,59
2015-12,62
2016-01,63
2016-02,61
2016-03,66
2016-04,70
2016-05,83
2016-06,65
2016-07,65
2016-08,67
2016-09,58
2016-10,62
2016-11,58
2016-12,64
2017-01,59
2017-02,61
2017-03,60
2017-04,68
2017-05,55
2017-06,56
2017-07,76
2017-08,68
2017-09,58
2017-10,62
2017-11,59
2017-12,66
2018-01,53
2018-02,56
2018-03,70
2018-04,77
2018-05,76
2018-06,67
2018-07,71
2018-08,64
2018-09,54
2018-10,61
2018-11,60
2018-12,64
2019-01,73
2019-02,81
2019-03,68
2019-04,66
2019-05,65
2019-06,62
2019-07,86
2019-08,67
2019-09,54
2019-10,73
2019-11,65
2019-12,68
2020-01,100
2020-02,77
2020-03,49
2020-04,63
2020-05,71
2020-06,72
2020-07,75
2020-08,62
2020-09,65
2020-10,65
2020-11,62
2020-12,65
2021-01,78
2021-02,65
2021-03,73
2021-04,68
2021-05,71
2021-06,63
2021-07,77
2021-08,63
2021-09,75
2021-10,70
2021-11,59
2021-12,58
2022-01,59
2022-02,61
2022-03,63
2022-04,67
2022-05,66
2022-06,72
2022-07,80
2022-08,96
2022-09,70
2022-10,62
2022-11,67
2022-12,54
2023-01,70
2023-02,74
2023-03,64
2023-04,84
2023-05,77
2023-06,68
2023-07,82
2023-08,59
2023-09,85
2023-10,80
2023-11,60
2023-12,81
2024-01,74
2024-02,83
2024-03,72
2024-04,65
2024-05,73
2024-06,70
2024-07,71
2024-08,90
2024-09,77
2024-10,69
2024-11,72
2024-12,64
