Category: All categories

Month,dna moczanowa: (Poland)
2014-01,64
2014-02,69
2014-03,72
2014-04,65
2014-05,71
2014-06,63
2014-07,72
2014-08,67
2014-09,62
2014-10,65
2014-11,73
2014-12,62
2015-01,73
2015-02,73
2015-03,73
2015-04,72
2015-05,72
2015-06,73
2015-07,77
2015-08,74
2015-09,68
2015-10,73
2015-11,70
2015-12,72
2016-01,64
2016-02,71
2016-03,66
2016-04,65
2016-05,66
2016-06,82
2016-07,73
2016-08,64
2016-09,65
2016-10,65
2016-11,70
2016-12,62
2017-01,75
2017-02,79
2017-03,71
2017-04,71
2017-05,71
2017-06,74
2017-07,78
2017-08,76
2017-09,68
2017-10,72
2017-11,78
2017-12,68
2018-01,77
2018-02,77
2018-03,74
2018-04,89
2018-05,83
2018-06,81
2018-07,82
2018-08,78
2018-09,66
2018-10,71
2018-11,74
2018-12,65
2019-01,77
2019-02,80
2019-03,80
2019-04,81
2019-05,78
2019-06,81
2019-07,86
2019-08,77
2019-09,70
2019-10,75
2019-11,86
2019-12,82
2020-01,88
2020-02,94
2020-03,63
2020-04,53
2020-05,66
2020-06,79
2020-07,98
2020-08,82
2020-09,76
2020-10,72
2020-11,68
2020-12,72
2021-01,82
2021-02,81
2021-03,79
2021-04,81
2021-05,83
2021-06,84
2021-07,88
2021-08,78
2021-09,78
2021-10,81
2021-11,79
2021-12,71
2022-01,84
2022-02,79
2022-03,77
2022-04,79
2022-05,88
2022-06,90
2022-07,95
2022-08,90
2022-09,76
2022-10,79
2022-11,75
2022-12,76
2023-01,90
2023-02,97
2023-03,95
2023-04,100
2023-05,99
2023-06,94
2023-07,84
2023-08,83
2023-09,71
2023-10,64
2023-11,71
2023-12,73
2024-01,72
2024-02,70
2024-03,74
2024-04,73
2024-05,74
2024-06,77
2024-07,74
2024-08,68
2024-09,60
2024-10,59
2024-11,63
2024-12,61
