Category: All categories

Month,gota: (Portugal)
2014-01,51
2014-02,50
2014-03,54
2014-04,55
2014-05,62
2014-06,58
2014-07,44
2014-08,46
2014-09,52
2014-10,50
2014-11,49
2014-12,41
2015-01,54
2015-02,52
2015-03,60
2015-04,56
2015-05,60
2015-06,57
2015-07,48
2015-08,44
2015-09,44
2015-10,60
2015-11,53
2015-12,43
2016-01,53
2016-02,49
2016-03,53
2016-04,55
2016-05,54
2016-06,62
2016-07,57
2016-08,48
2016-09,52
2016-10,61
2016-11,47
2016-12,38
2017-01,51
2017-02,54
2017-03,64
2017-04,61
2017-05,63
2017-06,55
2017-07,53
2017-08,56
2017-09,51
2017-10,60
2017-11,52
2017-12,47
2018-01,53
2018-02,50
2018-03,51
2018-04,56
2018-05,65
2018-06,63
2018-07,61
2018-08,61
2018-09,54
2018-10,74
2018-11,53
2018-12,49
2019-01,50
2019-02,65
2019-03,67
2019-04,58
2019-05,62
2019-06,60
2019-07,59
2019-08,57
2019-09,73
2019-10,60
2019-11,56
2019-12,52
2020-01,57
2020-02,61
2020-03,52
2020-04,63
2020-05,73
2020-06,69
2020-07,72
2020-08,66
2020-09,58
2020-10,69
2020-11,60
2020-12,49
2021-01,58
2021-02,62
2021-03,74
2021-04,78
2021-05,66
2021-06,67
2021-07,66
2021-08,60
2021-09,53
2021-10,65
2021-11,54
2021-12,49
2022-01,57
2022-02,71
2022-03,69
2022-04,76
2022-05,91
2022-06,73
2022-07,70
2022-08,66
2022-09,60
2022-10,67
2022-11,62
2022-12,55
2023-01,61
2023-02,70
2023-03,81
2023-04,85
2023-05,84
2023-06,67
2023-07,69
2023-08,67
2023-09,64
2023-10,64
2023-11,89
2023-12,59
2024-01,74
2024-02,72
2024-03,65
2024-04,78
2024-05,73
2024-06,84
2024-07,70
2024-08,65
2024-09,60
2024-10,75
2024-11,100
2024-12,61
