Category: All categories

Month,gută: (Romania)
2014-01,25
2014-02,0
2014-03,24
2014-04,29
2014-05,28
2014-06,26
2014-07,27
2014-08,26
2014-09,25
2014-10,28
2014-11,21
2014-12,32
2015-01,32
2015-02,17
2015-03,25
2015-04,19
2015-05,25
2015-06,24
2015-07,35
2015-08,47
2015-09,33
2015-10,35
2015-11,45
2015-12,37
2016-01,38
2016-02,36
2016-03,46
2016-04,50
2016-05,32
2016-06,46
2016-07,40
2016-08,37
2016-09,26
2016-10,28
2016-11,28
2016-12,31
2017-01,18
2017-02,19
2017-03,33
2017-04,23
2017-05,29
2017-06,31
2017-07,41
2017-08,29
2017-09,27
2017-10,45
2017-11,36
2017-12,36
2018-01,28
2018-02,0
2018-03,31
2018-04,30
2018-05,40
2018-06,31
2018-07,21
2018-08,29
2018-09,26
2018-10,32
2018-11,28
2018-12,33
2019-01,0
2019-02,34
2019-03,32
2019-04,24
2019-05,38
2019-06,41
2019-07,17
2019-08,21
2019-09,27
2019-10,26
2019-11,26
2019-12,44
2020-01,25
2020-02,33
2020-03,24
2020-04,25
2020-05,34
2020-06,37
2020-07,38
2020-08,24
2020-09,15
2020-10,26
2020-11,28
2020-12,34
2021-01,41
2021-02,29
2021-03,19
2021-04,41
2021-05,48
2021-06,36
2021-07,38
2021-08,40
2021-09,29
2021-10,36
2021-11,38
2021-12,33
2022-01,53
2022-02,51
2022-03,60
2022-04,76
2022-05,80
2022-06,72
2022-07,57
2022-08,76
2022-09,66
2022-10,60
2022-11,62
2022-12,70
2023-01,60
2023-02,71
2023-03,76
2023-04,69
2023-05,83
2023-06,100
2023-07,47
2023-08,52
2023-09,63
2023-10,44
2023-11,40
2023-12,47
2024-01,63
2024-02,83
2024-03,77
2024-04,80
2024-05,82
2024-06,71
2024-07,77
2024-08,48
2024-09,84
2024-10,58
2024-11,57
2024-12,77
