Category: All categories

Month,gikt: (Sweden)
2014-01,67
2014-02,59
2014-03,63
2014-04,62
2014-05,61
2014-06,64
2014-07,83
2014-08,72
2014-09,75
2014-10,71
2014-11,75
2014-12,90
2015-01,75
2015-02,75
2015-03,66
2015-04,69
2015-05,64
2015-06,66
2015-07,80
2015-08,67
2015-09,52
2015-10,62
2015-11,67
2015-12,63
2016-01,55
2016-02,60
2016-03,63
2016-04,65
2016-05,65
2016-06,63
2016-07,74
2016-08,66
2016-09,62
2016-10,63
2016-11,59
2016-12,56
2017-01,67
2017-02,59
2017-03,63
2017-04,67
2017-05,71
2017-06,76
2017-07,77
2017-08,76
2017-09,73
2017-10,79
2017-11,67
2017-12,66
2018-01,73
2018-02,72
2018-03,69
2018-04,75
2018-05,77
2018-06,73
2018-07,81
2018-08,72
2018-09,60
2018-10,67
2018-11,66
2018-12,63
2019-01,69
2019-02,69
2019-03,74
2019-04,72
2019-05,73
2019-06,87
2019-07,85
2019-08,71
2019-09,72
2019-10,70
2019-11,73
2019-12,70
2020-01,73
2020-02,74
2020-03,70
2020-04,68
2020-05,71
2020-06,84
2020-07,83
2020-08,78
2020-09,65
2020-10,72
2020-11,77
2020-12,87
2021-01,72
2021-02,81
2021-03,88
2021-04,84
2021-05,82
2021-06,86
2021-07,100
2021-08,83
2021-09,78
2021-10,78
2021-11,73
2021-12,75
2022-01,79
2022-02,72
2022-03,80
2022-04,80
2022-05,82
2022-06,93
2022-07,95
2022-08,87
2022-09,78
2022-10,75
2022-11,66
2022-12,73
2023-01,75
2023-02,81
2023-03,90
2023-04,87
2023-05,88
2023-06,91
2023-07,80
2023-08,71
2023-09,65
2023-10,64
2023-11,73
2023-12,72
2024-01,87
2024-02,75
2024-03,77
2024-04,74
2024-05,74
2024-06,76
2024-07,80
2024-08,70
2024-09,71
2024-10,68
2024-11,66
2024-12,77
